date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:20:29	16133/16133	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2012:23:12%20GMT	http://jxcg.cdu.edu.cn/index.php?a=lists&catid=24	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/index59fa.html	(from http://jxcg.cdu.edu.cn/index.php?a=lists&catid=7)
20:20:30	9663/9663	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2012:23:13%20GMT	http://jxcg.cdu.edu.cn/index.php?a=lists&catid=25	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/indexddb9.html	(from http://jxcg.cdu.edu.cn/index.php?a=lists&catid=7)
20:20:32	14427/14427	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2012:23:15%20GMT	http://jxcg.cdu.edu.cn/index.php?a=lists&catid=42	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/index8bc0.html	(from http://jxcg.cdu.edu.cn/index.php?a=lists&catid=7)
20:20:33	14367/14367	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2012:23:16%20GMT	http://jxcg.cdu.edu.cn/index.php?a=lists&catid=20	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/index9e75.html	(from http://jxcg.cdu.edu.cn/index.php?a=lists&catid=8)
20:20:35	16440/16440	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2012:23:18%20GMT	http://jxcg.cdu.edu.cn/index.php?a=lists&catid=31	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/indexd950.html	(from http://jxcg.cdu.edu.cn/index.php?a=lists&catid=8)
20:20:37	14812/14812	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2012:23:20%20GMT	http://jxcg.cdu.edu.cn/index.php?a=lists&catid=21	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/indexa7b8.html	(from http://jxcg.cdu.edu.cn/index.php?a=lists&catid=9)
20:20:39	389164/389164	---M--	200	added ('OK')	image/png	etag:%2253218951-5f02c%22	http://jxcg.cdu.edu.cn/Public/image/header_background.png	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/Public/image/header_background.png	(from http://jxcg.cdu.edu.cn/Public/css/style.css)
20:20:39	14914/14914	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2012:23:21%20GMT	http://jxcg.cdu.edu.cn/index.php?a=lists&catid=32	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/index77a6.html	(from http://jxcg.cdu.edu.cn/index.php?a=lists&catid=9)
20:20:40	447/447	---M--	200	added ('OK')	image/png	etag:%2253218949-1bf%22	http://jxcg.cdu.edu.cn/Public/image/dian_2.png	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/Public/image/dian_2.png	(from http://jxcg.cdu.edu.cn/index.php?a=shows&id=16&catid=34)
20:20:40	12403/12403	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2012:23:23%20GMT	http://jxcg.cdu.edu.cn/index.php?a=lists&catid=33	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/index6b23.html	(from http://jxcg.cdu.edu.cn/index.php?a=lists&catid=9)
20:20:43	22561/22561	---M--	200	added ('OK')	image/jpeg	etag:%225322ef08-5821%22	http://jxcg.cdu.edu.cn/d/file/contents/2014/03/5322ef0873550.jpg	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/d/file/contents/2014/03/5322ef0873550.jpg	(from http://jxcg.cdu.edu.cn/index.php?a=shows&id=3&catid=10)
20:20:55	94353/94353	---M--	200	added ('OK')	image/jpeg	etag:%2253228d2a-17091%22	http://jxcg.cdu.edu.cn/d/file/contents/2014/03/53228d2a5edd0.jpg	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/d/file/contents/2014/03/53228d2a5edd0.jpg	(from http://jxcg.cdu.edu.cn/index.php?a=shows&id=4&catid=10)
20:20:59	93327/93327	---M--	200	added ('OK')	image/jpeg	etag:%225322924f-16c8f%22	http://jxcg.cdu.edu.cn/d/file/contents/2014/03/5322924fd29e0.jpg	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/d/file/contents/2014/03/5322924fd29e0.jpg	(from http://jxcg.cdu.edu.cn/index.php?a=shows&id=9&catid=10)
20:21:11	94402/94402	---M--	200	added ('OK')	image/jpeg	etag:%22532a7676-170c2%22	http://jxcg.cdu.edu.cn/d/file/contents/2014/03/532a7676ee63d.jpg	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/d/file/contents/2014/03/532a7676ee63d.jpg	(from http://jxcg.cdu.edu.cn/index.php?a=shows&id=10&catid=10)
20:21:13	9141/9141	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2012:23:55%20GMT	http://jxcg.cdu.edu.cn/index.php?a=shows&catid=30&id=48	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/index71be.html	(from http://jxcg.cdu.edu.cn/index.php?a=shows&catid=30&id=34)
20:21:15	17203/17203	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Apr%202018%2012:23:57%20GMT	http://jxcg.cdu.edu.cn/index.php?a=lists&catid=12	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/index3338.html	(from http://jxcg.cdu.edu.cn/index.php?a=shows&catid=11&id=49)
20:21:16	102783/102783	---M--	200	added ('OK')	image/jpeg	etag:%225322a280-1917f%22	http://jxcg.cdu.edu.cn/d/file/contents/2014/03/5322a2802c653.jpg	G:/fuzhi/%e6%88%90%e6%9e%9c%e7%bd%91%e7%ab%99/jxcg.cdu.edu.cn/d/file/contents/2014/03/5322a2802c653.jpg	(from http://jxcg.cdu.edu.cn/index.php?a=shows&id=11&catid=10)
